ID,Name,Img
1991,"Angel Gate Press",https://comicvine.gamespot.com/api/image/square_avatar/449899-untitled.jpg
1992,"Broken Halos",https://comicvine.gamespot.com/api/image/square_avatar/450109-00000faust_book_of_m_3_x1.jpg
1993,"Rebel Studios",https://comicvine.gamespot.com/api/image/square_avatar/1107272-rebel.jpg
1994,"Marsu Productions",https://comicvine.gamespot.com/api/image/square_avatar/450555-logomarsubvx.jpg
1995,"Burlyman Entertainment",https://comicvine.gamespot.com/api/image/square_avatar/3494138-burlyman.jpg
1996,"SilverWolf",https://comicvine.gamespot.com/api/image/square_avatar/1460037-swlogo.png
1997,"Tumble Creek Press",https://comicvine.gamespot.com/api/image/square_avatar/450898-untitled.jpg
1998,"Castle Rain",https://comicvine.gamespot.com/api/image/square_avatar/451359-no_pic.jpg
1999,"Dial "C" for Comics",https://comicvine.gamespot.com/api/image/square_avatar/455847-dcfc_logo_green.gif
2000,"Soleil",https://comicvine.gamespot.com/api/image/square_avatar/457177-soleillogo.gif
2001,"Ape Entertainment",https://comicvine.gamespot.com/api/image/square_avatar/462277-ape_logo_low_res.jpg
2002,"Markosia",https://comicvine.gamespot.com/api/image/square_avatar/462309-markosia_logo_new.jpg
2003,"Studio 407",https://comicvine.gamespot.com/api/image/square_avatar/468687-407.jpg
2004,"Darkchylde Entertainment",https://comicvine.gamespot.com/api/image/square_avatar/468829-darkchyldeentertainment.jpg
2005,"Amryl Entertainment",https://comicvine.gamespot.com/api/image/square_avatar/468945-amyr.jpg
2006,"Rude Dude Productions",https://comicvine.gamespot.com/api/image/square_avatar/469378-rdplogo.gif
2007,"DeadBox Art Studio",https://comicvine.gamespot.com/api/image/square_avatar/469472-angel_concept_art_by_rhspooky_by_rhspooky.jpg
2008,"Edifumetto",https://comicvine.gamespot.com/api/image/square_avatar/1236357-efumetto.png
2009,"Ediperiodici",https://comicvine.gamespot.com/api/image/square_avatar/1664013-edip.png
2010,"Elvifrance",https://comicvine.gamespot.com/api/image/square_avatar/469988-no_pic_super.jpg
2011,"Editoriale Mercury",https://comicvine.gamespot.com/api/image/square_avatar/470287-logo_prova4.gif
2012,"Smithsonian Institution",https://comicvine.gamespot.com/api/image/square_avatar/470474-img_logo.gif
2013,"dupe",https://comicvine.gamespot.com/api/image/square_avatar/478284-head01.gif
2014,"Amalgam Comics",https://comicvine.gamespot.com/api/image/square_avatar/118886-113771-amalgam.gif
2015,"Pulp Theatre",https://comicvine.gamespot.com/api/image/square_avatar/478950-pulp_logo.gif
2016,"Radical Publishing",https://comicvine.gamespot.com/api/image/square_avatar/626927-x_force_v3_09_010.jpg
2018,"Kana",https://comicvine.gamespot.com/api/image/square_avatar/483739-logo.gif
2019,"Rebellion",https://comicvine.gamespot.com/api/image/square_avatar/1713064-rebellion.png
2021,"About Comics",https://comicvine.gamespot.com/api/image/square_avatar/497905-aboutheader.gif
2022,"Fox Atomic Comics",https://comicvine.gamespot.com/api/image/square_avatar/497989-untitled.jpg
2023,"3 Finger Prints",https://comicvine.gamespot.com/api/image/square_avatar/497995-finger_print2.gif
2024,"Thunder Baas",https://comicvine.gamespot.com/api/image/square_avatar/502652-untitled.jpg
2025,"Paper Dragonz",https://comicvine.gamespot.com/api/image/square_avatar/503294-untitled.jpg
2026,"self published",https://comicvine.gamespot.com/api/image/square_avatar/503315-reflection_in_mirror_19nov04_723397.jpg
2027,"True Believers Press",https://comicvine.gamespot.com/api/image/square_avatar/505094-99973_20070724204054_large.jpg
2028,"After Hours Press",https://comicvine.gamespot.com/api/image/square_avatar/506638-afterhours.jpg
2029,"False Idol Studios",https://comicvine.gamespot.com/api/image/square_avatar/506664-7guys.jpg
2030,"Dargaud",https://comicvine.gamespot.com/api/image/square_avatar/508308-logo_dargaud.jpg
